Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from {fd}
Compute Ranks
Output Ranks
256 (0.0007950825653558106, 'KWL') Liangjiang, China
257 (0.0007943450907721144, 'UIO') Mariscal Sucre Intl, Ecuador
258 (0.0007914353707441055, 'AER') Sochi, Russia
259 (0.0007889651973119235, 'VLC') Valencia, Spain
260 (0.0007874993464115625, 'HAJ') Hannover, Germany
261 (0.0007764426190458262, 'BLQ') Bologna, Italy
262 (0.0007716079265593245, 'SAT') San Antonio Intl, United States
263 (0.000770623726542161, 'BEY') Rafic Hariri Intl, Lebanon
264 (0.0007694134020003366, 'CGB') Marechal Rondon, Brazil
265 (0.0007677003804300512, 'SXF') Schonefeld, Germany
266 (0.0007620374721599663, 'MTY') General Mariano Escobedo Intl, Mexico
267 (0.0007591238263453116, 'SFB') Orlando Sanford Intl, United States
268 (0.0007562149117508116, 'YOW') Ottawa Macdonald Cartier Intl, Canada
269 (0.000752400136208308, 'SPU') Split, Croatia
270 (0.0007503513459103745, 'LBA') Leeds Bradford, United Kingdom
271 (0.000749386881709726, 'YFB') Iqaluit, Canada
272 (0.0007489505865065078, 'MEM') Memphis Intl, United States
273 (0.0007478811087086797, 'RGN') Yangon Intl, Burma
274 (0.000747540744775915, 'ACC') Kotoka Intl, Ghana
275 (0.0007470528430688025, 'OLB') Olbia Costa Smeralda, Italy
276 (0.0007450702706119427, 'MSY') Louis Armstrong New Orleans Intl, United States
277 (0.0007406408800175411, 'SAL') El Salvador Intl, El Salvador
278 (0.0007402879723121245, 'NCL') Newcastle, United Kingdom
279 (0.000737097597393648, 'NTE') Nantes Atlantique, France
280 (0.0007361097263349562, 'YRT') Rankin Inlet, Canada
281 (0.0007346470349937191, 'BEG') Beograd, Serbia
282 (0.0007334448265287581, 'BEL') Val De Cans Intl, Brazil
283 (0.0007284036326051187, 'GRO') Girona, Spain
284 (0.0007282396010984909, 'MFM') Macau Intl, Macau
285 (0.0007278734080456314, 'HKT') Phuket Intl, Thailand
286 (0.0007261379799007381, 'MAH') Menorca, Spain
287 (0.0007257605059450854, 'SJC') Norman Y Mineta San Jose Intl, United States
288 (0.0007253250836599404, 'KTN') Ketchikan Intl, United States
289 (0.0007232712194190027, 'KRT') Khartoum, Sudan
290 (0.0007218373578641663, 'FUE') Fuerteventura, Spain
291 (0.0007217008542236808, 'LHW') Lanzhou Airport, China
292 (0.0007199521304278235, 'CVG') Cincinnati Northern Kentucky Intl, United States
293 (0.0007195622879005169, 'OGG') Kahului, United States
294 (0.0007119736697776311, 'DBV') Dubrovnik, Croatia
295 (0.0007078445742672792, 'KGS') Kos, Greece
296 (0.0007058167588069642, 'BKI') Kota Kinabalu Intl, Malaysia
297 (0.0007046487351869505, 'ESB') Esenboga, Turkey
298 (0.0007042319577512741, 'MES') Polonia, Indonesia
299 (0.0007039219935579745, 'LCY') City, United Kingdom
300 (0.0007034955451984682, 'BIO') Bilbao, Spain
301 (0.000703362494620635, 'MKE') General Mitchell Intl, United States
302 (0.0007026978837871786, 'NAP') Capodichino, Italy
303 (0.000700641790772526, 'PIT') Pittsburgh Intl, United States
304 (0.0006994751357007862, 'CPT') Cape Town Intl, South Africa
305 (0.0006992539915562318, 'SYZ') Shiraz Shahid Dastghaib Intl, Iran
306 (0.0006909161093044253, 'GYD') Heydar Aliyev, Azerbaijan
307 (0.000688818725683529, 'DKR') Leopold Sedar Senghor Intl, Senegal
308 (0.0006879265499794391, 'REC') Guararapes Gilberto Freyre Intl, Brazil
309 (0.0006861367777473037, 'WNZ') Wenzhou Yongqiang Airport, China
310 (0.000684308726368401, 'LUX') Luxembourg, Luxembourg
311 (0.0006825322224052934, 'OKA') Naha, Japan
312 (0.0006778546351452262, 'TSE') Astana Intl, Kazakhstan
